time                max{T}              x(max{T})           y(max{T})           z(max{T})           vx(max{T})          vy(max{T})          vz(max{T})          R(max{T})           vr(max{T})          T_center            max{Mach}           
4.0589407779e+00    6.2151529358e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.6813181434e+06   5.9230676501e+06    -2.6843548156e+06   3.3829117335e+06    5.9402071603e+06    5.1467272245e+08    1.9328595356e-02    
4.2073445232e+00    5.9748219333e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.7105382236e+06   5.7384087254e+06    -2.5905264711e+06   3.3829117335e+06    5.7962926816e+06    5.0473260134e+08    1.8864874634e-02    
4.3605463277e+00    5.7690537626e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.7106261132e+06   5.5416355763e+06    -2.5139071585e+06   3.3829117335e+06    5.6385002133e+06    4.9628864399e+08    1.8257712302e-02    
4.5176014088e+00    5.5839554613e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.6472160183e+06   5.3436734853e+06    -2.4078598094e+06   3.3829117335e+06    5.4263704459e+06    4.8903668795e+08    1.7455372237e-02    
4.6859523671e+00    5.4171199897e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.5642441284e+06   5.1813133041e+06    -2.2025903425e+06   3.3829117335e+06    5.1662155267e+06    4.8242034760e+08    1.5713337900e-02    
4.8659238912e+00    5.2653195372e+08    2.4804687500e+08    2.5195312500e+08    2.4804687500e+08    -1.4817142272e+06   5.0390736385e+06    -1.9634050053e+06   3.3829117335e+06    4.8983510379e+06    4.7672171832e+08    1.4283611388e-02    
5.0626277746e+00    5.1946202653e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    2.8624056531e+06    -1.3692998448e+06   -1.4864068692e+06   8.5134744991e+06    2.6221130481e+06    4.7152984617e+08    1.2790346300e-02    
5.2790020463e+00    5.1477661931e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    3.0200645697e+06    -1.3770974233e+06   -1.1128534934e+06   8.5134744991e+06    2.4065520802e+06    4.6671207902e+08    1.1156950731e-02    
5.5170137453e+00    5.0965417327e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    3.0750673617e+06    -1.4085021587e+06   -6.8047147402e+05   8.5134744991e+06    2.1431990924e+06    4.6255601887e+08    8.8483986039e-03    
5.7788266141e+00    5.0358380460e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    3.0192378752e+06    -1.4616877788e+06   -2.7346471785e+05   8.5134744991e+06    1.8868745231e+06    4.5908631525e+08    8.1755238867e-03    
6.0668207698e+00    4.9704869045e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    2.8397862903e+06    -1.3534962974e+06   9.7822942820e+04    8.5134744991e+06    1.5157053283e+06    4.5641577793e+08    7.6393830546e-03    
6.2556811081e+00    4.9361987332e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    2.6947120985e+06    -1.3274745724e+06   2.2340259704e+05    8.5134744991e+06    1.3780838011e+06    4.5520116204e+08    7.3377871759e-03    
6.3851846136e+00    4.9153045636e+08    2.5195312500e+08    2.4414062500e+08    2.4414062500e+08    2.6015582759e+06    -1.3337860761e+06   2.7167283583e+05    8.5134744991e+06    1.3278348665e+06    4.5447668573e+08    7.1310995902e-03    
6.5276384696e+00    4.8974517873e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.1181438777e+06    -2.1257044889e+06   8.7320076215e+05    8.5134744991e+06    -8.8286732051e+05   4.5374321810e+08    6.9356452393e-03    
6.6843377112e+00    4.8918514953e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.1089640207e+06    -2.0573817962e+06   8.0941074315e+05    8.5134744991e+06    -8.4832030826e+05   4.5307328777e+08    6.9396786637e-03    
6.8567068770e+00    4.8857454747e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.1152974843e+06    -1.9956357533e+06   7.3157702645e+05    8.5134744991e+06    -8.1327597285e+05   4.5245827671e+08    7.1538263303e-03    
7.0463129593e+00    4.8773148924e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.1430251759e+06    -1.9368793391e+06   6.4603505609e+05    8.5134744991e+06    -7.8696510317e+05   4.5192796037e+08    7.7512334692e-03    
7.2548796499e+00    4.8668397545e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.2160352154e+06    -1.9501853871e+06   5.4190591949e+05    8.5134744991e+06    -7.6249485488e+05   4.5144709800e+08    8.3382009140e-03    
7.4117931368e+00    4.8580687246e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.2888825742e+06    -1.9677092650e+06   4.8512381848e+05    8.5134744991e+06    -7.6953147035e+05   4.5115552457e+08    8.3495942384e-03    
7.5843979725e+00    4.8485898020e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.3783681599e+06    -1.9786033528e+06   4.0141423135e+05    8.5134744991e+06    -7.7100751002e+05   4.5082911149e+08    8.2739970385e-03    
7.7742632917e+00    4.8378375091e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.5009042437e+06    -1.9909258428e+06   2.9322148693e+05    8.5134744991e+06    -7.7805230011e+05   4.5055666327e+08    7.8658338641e-03    
7.9831151428e+00    4.8247708340e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.6580609870e+06    -2.0058914381e+06   1.5674850017e+05    8.5134744991e+06    -7.8885449463e+05   4.5036860520e+08    7.3530705209e-03    
8.1650918720e+00    4.8136515466e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.8038288895e+06    -2.0144102303e+06   3.7169367446e+04    8.5134744991e+06    -8.0492449720e+05   4.5023364830e+08    6.9332528441e-03    
8.3332556105e+00    4.8019273670e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    1.9253211168e+06    -2.0005262737e+06   -8.8784625882e+04   8.5134744991e+06    -8.0503889733e+05   4.5011353819e+08    6.8816051942e-03    
8.5182357228e+00    4.7876539042e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    2.0106807840e+06    -1.9577675206e+06   -2.4639799347e+05   8.5134744991e+06    -7.6512002094e+05   4.5001836765e+08    6.9169024814e-03    
8.7217138464e+00    4.7704906429e+08    2.4414062500e+08    2.4804687500e+08    2.4414062500e+08    2.0306322733e+06    -1.8786992360e+06   -4.0241277762e+05   8.5134744991e+06    -6.8961434754e+05   4.4995171697e+08    6.9416325232e-03    
8.9455397823e+00    4.7524367949e+08    2.4414062500e+08    2.4804687500e+08    2.5585937500e+08    9.4350140538e+05    -5.6767524959e+05   -1.5785771959e+05   8.5134744991e+06    -6.2777370174e+05   4.4990920782e+08    6.8169349164e-03    
9.1040175124e+00    4.7518698401e+08    2.4414062500e+08    2.4804687500e+08    2.5585937500e+08    8.9278411450e+05    -5.9631196442e+05   5.6884449208e+04    8.5134744991e+06    -4.3850225853e+05   4.4990498569e+08    6.5105511749e-03    
